Order ID,Customer Name,Category,Sales
CA-2012-SM20320140-40985,Sean Miller,Technology,22638.48
CA-2014-TC20980140-41915,Tamara Chand,Technology,17499.949999999997
CA-2015-RB19360140-42087,Raymond Buch,Technology,13999.96
CA-2015-TA21385140-42300,Tom Ashbrook,Technology,11199.968
CA-2015-HL15040140-42326,Hunter Lopez,Technology,10499.97
CA-2014-AB10105140-41991,Adrian Barton,Office Supplies,9892.74
CA-2012-SC20095140-41174,Sanjit Chand,Office Supplies,9449.95
US-2014-BS11365140-41746,Bill Shonely,Technology,9099.93
CA-2014-SE20110140-41672,Sanjit Engle,Technology,8749.95
CA-2014-CC12370140-41783,Christopher Conant,Technology,8399.975999999999
